run,variant,frequency,solution,generation,fitness
0,A,0.05,0,0,-0.2936509801004826
0,A,0.05,0,1,-0.42184755442633187
0,A,0.05,0,2,-0.40823977537515654
0,A,0.05,0,3,-0.3874674668455407
0,A,0.05,0,4,-0.40484434898801414
0,A,0.05,0,5,-0.5344900927701111
0,A,0.05,0,6,-0.37822659576621903
0,A,0.05,0,7,-0.45962671388871323
0,A,0.05,0,8,-0.4394829409886385
0,A,0.05,0,9,-0.6392369379000824
0,A,0.05,0,10,-0.42546421742163404
0,A,0.05,0,11,-0.5292724311394564
0,A,0.05,0,12,-0.4012353979092096
0,A,0.05,0,13,-0.5007597137469395
0,A,0.05,0,14,-0.4440178499439115
0,A,0.05,0,15,-0.5703707175957624
0,A,0.05,0,16,-0.36294246091920834
0,A,0.05,0,17,-0.18899818696217735
0,A,0.05,0,18,-0.44490817003564814
0,A,0.05,0,19,-0.4706079509904302
0,A,0.05,1,0,0.963553178393755
0,A,0.05,1,1,0.9148387328820816
0,A,0.05,1,2,0.5893703872244517
0,A,0.05,1,3,0.5944426026708644
0,A,0.05,1,4,0.7368352581312542
0,A,0.05,1,5,0.43771812593473397
0,A,0.05,1,6,0.9766651830351522
0,A,0.05,1,7,1.1430922586945047
0,A,0.05,1,8,1.1311795203449233
0,A,0.05,1,9,1.2259358443953492
0,A,0.05,1,10,0.8323172387105434
0,A,0.05,1,11,1.3832389615620777
0,A,0.05,1,12,1.3801293650078899
0,A,0.05,1,13,0.7262988487830013
0,A,0.05,1,14,0.9493237885623308
0,A,0.05,1,15,1.036623536187191
0,A,0.05,1,16,1.0010461992217277
0,A,0.05,1,17,1.113907713028627
0,A,0.05,1,18,0.5368230682368768
0,A,0.05,1,19,0.9442812911372247
0,A,0.05,2,0,-2.572248503007305
0,A,0.05,2,1,-0.8493067701031702
0,A,0.05,2,2,-2.1881980759053126
0,A,0.05,2,3,-2.713333929300768
0,A,0.05,2,4,-2.024552064986749
0,A,0.05,2,5,-2.4538802072434933
0,A,0.05,2,6,-1.7427644479774511
0,A,0.05,2,7,-1.4431504006871185
0,A,0.05,2,8,-2.0433929484860953
0,A,0.05,2,9,-2.3322546216623454
0,A,0.05,2,10,-2.727721054588796
0,A,0.05,2,11,-0.08067541117437128
0,A,0.05,2,12,0.22045614232638852
0,A,0.05,2,13,-2.649552249922926
0,A,0.05,2,14,-2.514271231480252
0,A,0.05,2,15,-0.6933385177516644
0,A,0.05,2,16,-1.8398284369320885
0,A,0.05,2,17,0.13604155847541904
0,A,0.05,2,18,-2.3656793232190223
0,A,0.05,2,19,-1.4276477468403108
0,A,0.05,3,0,1.2684324638377165
0,A,0.05,3,1,0.9407888522832086
0,A,0.05,3,2,0.8147327462981527
0,A,0.05,3,3,0.10512806766715058
0,A,0.05,3,4,0.32100825995792454
0,A,0.05,3,5,0.9780439228882604
0,A,0.05,3,6,0.780985500092277
0,A,0.05,3,7,0.6484317618609191
0,A,0.05,3,8,0.2998559775946888
0,A,0.05,3,9,0.3150897745557969
0,A,0.05,3,10,0.16905106911032625
0,A,0.05,3,11,0.6475403916421397
0,A,0.05,3,12,0.21134723904004835
0,A,0.05,3,13,1.0565110839712755
0,A,0.05,3,14,0.09607589161491392
0,A,0.05,3,15,0.4563206130371436
0,A,0.05,3,16,0.9005615929137815
0,A,0.05,3,17,0.6746856659499036
0,A,0.05,3,18,0.7340835378888289
0,A,0.05,3,19,0.10320887689504028
0,A,0.05,4,0,-0.1481912207665371
0,A,0.05,4,1,-0.5315072838101189
0,A,0.05,4,2,-0.21225902625356166
0,A,0.05,4,3,0.032477748263540114
0,A,0.05,4,4,-0.09349353936482215
0,A,0.05,4,5,0.1509096660616794
0,A,0.05,4,6,0.050756569623404295
0,A,0.05,4,7,0.1956678801885557
0,A,0.05,4,8,0.5045655162122994
0,A,0.05,4,9,-0.2272019677343992
0,A,0.05,4,10,0.4241989714955825
0,A,0.05,4,11,0.33728229221800143
0,A,0.05,4,12,0.22452802558807552
0,A,0.05,4,13,0.06103269873292833
0,A,0.05,4,14,0.21524415806837954
0,A,0.05,4,15,0.4265590479706822
0,A,0.05,4,16,1.1025237949685407
0,A,0.05,4,17,0.04623303924920374
0,A,0.05,4,18,1.2205610558987587
0,A,0.05,4,19,1.3455237682095642
0,A,0.05,5,0,-0.10000612007003923
0,A,0.05,5,1,0.3498167801650934
0,A,0.05,5,2,0.21218329362046143
0,A,0.05,5,3,0.5106733211641888
0,A,0.05,5,4,0.11925146325263987
0,A,0.05,5,5,0.6005758212631719
0,A,0.05,5,6,0.5193393399945488
0,A,0.05,5,7,0.18296851567883657
0,A,0.05,5,8,0.6158459271110646
