run,variant,frequency,solution,generation,fitness
0,A,0.05,0,0,-0.03240111371147419
0,A,0.05,0,1,0.04900985689692119
0,A,0.05,0,2,-0.028392020519831238
0,A,0.05,0,3,-0.44001908674762086
0,A,0.05,0,4,0.17672326570704533
0,A,0.05,0,5,-0.03617759834563681
0,A,0.05,0,6,0.2780679655304932
0,A,0.05,0,7,-0.05345016352598533
0,A,0.05,0,8,0.22799751102326427
0,A,0.05,0,9,0.022893035116377435
0,A,0.05,0,10,-0.6083349864644431
0,A,0.05,0,11,0.11887995408274797
0,A,0.05,0,12,0.016211674887425788
0,A,0.05,0,13,-0.2920529432152386
0,A,0.05,0,14,0.12630509963670214
0,A,0.05,1,0,-0.22219337311553777
0,A,0.05,1,1,-0.5001784452011804
0,A,0.05,1,2,-0.36806102587988593
0,A,0.05,1,3,-0.3124960607873576
0,A,0.05,1,4,-0.36700407609707825
0,A,0.05,1,5,-0.5175524493476463
0,A,0.05,1,6,-0.4570690908848181
0,A,0.05,1,7,-0.4634504391253155
0,A,0.05,1,8,-0.4965006607601101
0,A,0.05,1,9,-0.1925552000700823
0,A,0.05,1,10,-0.3343063683705539
0,A,0.05,1,11,-0.3931058360401983
0,A,0.05,1,12,-0.06731781951869542
0,A,0.05,1,13,-0.3415506510830918
0,A,0.05,1,14,-0.2089625287511921
0,A,0.05,2,0,0.534073645352871
0,A,0.05,2,1,0.08840364433733666
0,A,0.05,2,2,1.1649854804837272
0,A,0.05,2,3,0.0946670940629388
0,A,0.05,2,4,1.3004393989395366
0,A,0.05,2,5,1.3714161351632144
0,A,0.05,2,6,1.559932080038623
0,A,0.05,2,7,0.5778261051127375
0,A,0.05,2,8,0.02756189265396369
0,A,0.05,2,9,1.3196601443223825
0,A,0.05,2,10,0.9062859775275017
0,A,0.05,2,11,1.4143332679202416
0,A,0.05,2,12,1.533666956392997
0,A,0.05,2,13,0.8995408803417138
0,A,0.05,2,14,1.2611642214958008
0,A,0.05,3,0,-2.4111518642444776
0,A,0.05,3,1,-2.940042590780267
0,A,0.05,3,2,-2.6403344909788045
0,A,0.05,3,3,-3.6146635463076096
0,A,0.05,3,4,-4.2737057613109775
0,A,0.05,3,5,-3.2317676148444474
0,A,0.05,3,6,-3.311577528112523
0,A,0.05,3,7,-1.5732706492205564
0,A,0.05,3,8,-2.8669308964431837
0,A,0.05,3,9,-2.2687938819613307
0,A,0.05,3,10,-2.901171565997928
0,A,0.05,3,11,-2.2343478339435725
0,A,0.05,3,12,-2.3636612068948852
0,A,0.05,3,13,-1.953616354292693
0,A,0.05,3,14,-2.3580420673549094
0,A,0.05,4,0,0.9974547517029778
0,A,0.05,4,1,1.3506154899746048
0,A,0.05,4,2,0.9760123423947943
0,A,0.05,4,3,1.2229269842326966
0,A,0.05,4,4,0.6711174265790635
0,A,0.05,4,5,1.2754079604550137
0,A,0.05,4,6,0.8158223765649021
0,A,0.05,4,7,1.1207643142596266
0,A,0.05,4,8,1.0084375607008538
0,A,0.05,4,9,1.0227568938649696
0,A,0.05,4,10,1.0502601702042194
0,A,0.05,4,11,1.104941910750883
0,A,0.05,4,12,1.1033139363964226
0,A,0.05,4,13,1.1137099068707579
0,A,0.05,4,14,1.3757766429069567
0,A,0.05,5,0,-1.2351263618380472
0,A,0.05,5,1,-1.0584417420867744
0,A,0.05,5,2,-1.4807256195470315
0,A,0.05,5,3,-1.5749608573766969
0,A,0.05,5,4,-1.287875356433883
0,A,0.05,5,5,-1.4164233424269446
0,A,0.05,5,6,-1.0478440818141554
0,A,0.05,5,7,-0.5919870040598068
0,A,0.05,5,8,-1.94434696082802
0,A,0.05,5,9,0.014777929297377545
0,A,0.05,5,10,-0.9136393430007049
0,A,0.05,5,11,-1.4689537834365032
0,A,0.05,5,12,-1.895008279949893
0,A,0.05,5,13,-1.7373928596150596
0,A,0.05,5,14,-0.9396382960517506
0,A,0.05,6,0,-0.04190600564071021
0,A,0.05,6,1,-0.06715673858668558
0,A,0.05,6,2,0.03500536514455218
0,A,0.05,6,3,0.13338308405113286
0,A,0.05,6,4,0.11236190741591917
0,A,0.05,6,5,0.14199067805843368
0,A,0.05,6,6,0.1306999241267557
0,A,0.05,6,7,0.14697242021508936
0,A,0.05,6,8,0.29085624081187395
0,A,0.05,6,9,0.13291816288789385
0,A,0.05,6,10,0.19662591528249912
0,A,0.05,6,11,0.15008162151729323
0,A,0.05,6,12,0.17212559601040117
0,A,0.05,6,13,0.22373199643739647
0,A,0.05,6,14,0.07520369112304719
0,A,0.05,7,0,-2.2922328652761617
0,A,0.05,7,1,-2.7615710018505935
0,A,0.05,7,2,-2.1857379062862385
0,A,0.05,7,3,-1.7512786294903548
0,A,0.05,7,4,-2.229342659029512
0,A,0.05,7,5,-2.005482477906756
0,A,0.05,7,6,-2.0274408599105374
0,A,0.05,7,7,-2.5913222393910957
0,A,0.05,7,8,-2.435007969556521
0,A,0.05,7,9,-2.1094065058503166
0,A,0.05,7,10,-2.126963320826383
0,A,0.05,7,11,-2.216895534720383
0,A,0.05,7,12,-2.050183655478428
0,A,0.05,7,13,-2.102555384305583
0,A,0.05,7,14,-2.0691862513853896
0,A,0.05,8,0,-1.5015999639505417
0,A,0.05,8,1,-1.265942728334385
0,A,0.05,8,2,-1.6227359884391566
0,A,0.05,8,3,-1.5506591669493328
0,A,0.05,8,4,-1.7326491389541663
0,A,0.05,8,5,-1.8430334106942787
0,A,0.05,8,6,-1.4593238729973936
0,A,0.05,8,7,-1.7937286326942128
0,A,0.05,8,8,-1.5028010291389415
0,A,0.05,8,9,-1.761192083993024
0,A,0.05,8,10,-1.5983067404335864
0,A,0.05,8,11,-1.742340147900386
0,A,0.05,8,12,-1.7168691061881465
0,A,0.05,8,13,-1.2169390793318673
0,A,0.05,8,14,-1.848889606630877
0,A,0.05,9,0,1.2864008858821039
0,A,0.05,9,1,1.5649075776441463
0,A,0.05,9,2,0.9370208515140213
0,A,0.05,9,3,1.5691878831515462
0,A,0.05,9,4,0.9825659984970153
0,A,0.05,9,5,1.7440609099538533
0,A,0.05,9,6,1.4875235658620884
0,A,0.05,9,7,1.4986381862278073
0,A,0.05,9,8,1.0918587202485435
0,A,0.05,9,9,1.348146463627509
0,A,0.05,9,10,1.4663327160676063
0,A,0.05,9,11,1.6663447775012696
0,A,0.05,9,12,1.5881614355257583
0,A,0.05,9,13,1.523881468079412
0,A,0.05,9,14,1.659068308305221
0,B,100,0,0,-0.09635303031844283
0,B,100,0,1,-0.17085389705773016
0,B,100,0,2,-0.0014024373066788133
0,B,100,0,3,-0.07777516606969957
0,B,100,0,4,-0.24834033593497337
0,B,100,0,5,-0.04386279396608268
0,B,100,0,6,-0.019728834949866315
0,B,100,0,7,-0.08669744290291372
0,B,100,0,8,-0.11842810359726444
0,B,100,0,9,-0.09258265129602018
0,B,100,0,10,-0.16401119357600644
0,B,100,0,11,-0.03398979736724339
0,B,100,0,12,-0.21738854929039683
0,B,100,0,13,-0.3653312742056964
0,B,100,0,14,-0.09324163793751025
0,B,100,1,0,0.1250553965870679
0,B,100,1,1,-0.15767323381239653
0,B,100,1,2,0.05452701331724997
0,B,100,1,3,-0.005369999211794408
0,B,100,1,4,0.0060018877866422245
0,B,100,1,5,0.12163438357742672
0,B,100,1,6,0.027090252177419723
0,B,100,1,7,0.13511147718068542
0,B,100,1,8,0.43226887205354847
0,B,100,1,9,0.733687988338733
0,B,100,1,10,0.4327933748758664
0,B,100,1,11,0.28637117314365235
0,B,100,1,12,0.30626173127188244
0,B,100,1,13,0.6834924050203687
0,B,100,1,14,1.1899164912433196
0,B,100,2,0,0.6240634192980542
0,B,100,2,1,0.6520141492418825
0,B,100,2,2,0.6496124583705672
0,B,100,2,3,0.8398509548210634
0,B,100,2,4,0.5835630400923566
0,B,100,2,5,0.4310796027777025
0,B,100,2,6,0.32193560004510463
0,B,100,2,7,0.9740704351593538
0,B,100,2,8,0.5574665290581524
0,B,100,2,9,0.5821578081529745
0,B,100,2,10,0.7823707493089772
0,B,100,2,11,0.686413302713054
0,B,100,2,12,0.7327641089215873
0,B,100,2,13,0.502897770645109
0,B,100,2,14,0.6869577108088268
0,B,100,3,0,0.9706167483329649
0,B,100,3,1,0.6913876594490387
0,B,100,3,2,0.8560704596242188
0,B,100,3,3,0.522106100587347
0,B,100,3,4,0.9553400851555534
0,B,100,3,5,0.6528000807678361
0,B,100,3,6,0.8091064484619506
0,B,100,3,7,0.7484309688383701
0,B,100,3,8,0.7425456902121511
0,B,100,3,9,0.8256572784401369
0,B,100,3,10,0.6787898883157257
0,B,100,3,11,0.9896518546349453
0,B,100,3,12,0.8009802386995021
0,B,100,3,13,0.8228480475120823
0,B,100,3,14,0.7583966136447067
0,B,100,4,0,-0.20669659616464806
0,B,100,4,1,0.21806605975932386
0,B,100,4,2,0.35766614597374546
0,B,100,4,3,0.39789907673817004
0,B,100,4,4,0.7203383726642175
0,B,100,4,5,0.22876981874047703
0,B,100,4,6,0.6520129291475802
0,B,100,4,7,0.228104238606742
0,B,100,4,8,0.7527348851746755
0,B,100,4,9,-0.07828506859426952
0,B,100,4,10,0.6544734791137855
0,B,100,4,11,-0.1997612022130086
0,B,100,4,12,0.5864354446283538
0,B,100,4,13,0.4192525091838414
0,B,100,4,14,-0.4679940659029106
0,B,100,5,0,0.9486220746245018
0,B,100,5,1,0.8666361538198576
0,B,100,5,2,0.8590770133638557
0,B,100,5,3,0.9702044266954384
0,B,100,5,4,1.0008660403542222
0,B,100,5,5,0.8867280477089747
