run,variant,frequency,solution,generation,fitness
0,A,0.05,0,0,0.3392416087532547
0,A,0.05,0,1,0.8912799165628561
0,A,0.05,0,2,0.8374630782611346
0,A,0.05,0,3,-0.5087459335972209
0,A,0.05,0,4,1.5064239690073624
0,A,0.05,0,5,1.7340928677338254
0,A,0.05,0,6,2.094021746872348
0,A,0.05,0,7,1.9393569447478434
0,A,0.05,0,8,2.15967593174845
0,A,0.05,0,9,1.9941920521799679
0,A,0.05,0,10,2.5340907602284575
0,A,0.05,0,11,1.772979627054288
0,A,0.05,0,12,1.7084997166323552
0,A,0.05,0,13,1.8585253998454578
0,A,0.05,0,14,1.7321416596706132
0,A,0.05,0,15,2.0528148794459313
0,A,0.05,0,16,0.13203455494187424
0,A,0.05,0,17,1.695058799357111
0,A,0.05,0,18,1.5373857110479145
0,A,0.05,0,19,1.7143547196242441
0,A,0.05,0,20,1.9805298942374228
0,A,0.05,0,21,1.9196430943885963
0,A,0.05,0,22,2.106059119381274
0,A,0.05,0,23,1.167027250190443
0,A,0.05,0,24,1.327671010422528
0,A,0.05,0,25,1.7945160639569424
0,A,0.05,0,26,1.2308371947526993
0,A,0.05,0,27,1.0199737876657586
0,A,0.05,0,28,0.2866824145833657
0,A,0.05,0,29,1.7547073446736725
0,A,0.05,1,0,-1.151579606066758
0,A,0.05,1,1,-1.2822628344383515
0,A,0.05,1,2,-0.6165939222765616
0,A,0.05,1,3,-0.8788141115866748
0,A,0.05,1,4,-0.4724311584692922
0,A,0.05,1,5,-0.7130375179201736
0,A,0.05,1,6,-0.5186428031981111
0,A,0.05,1,7,-0.652408746349157
0,A,0.05,1,8,-1.1590903086766455
0,A,0.05,1,9,-0.4340326579630405
0,A,0.05,1,10,-1.5938710494118948
0,A,0.05,1,11,-0.4972643403876101
0,A,0.05,1,12,-0.3586859396194131
0,A,0.05,1,13,-0.005793333991492501
0,A,0.05,1,14,-0.4824329624912315
0,A,0.05,1,15,-0.9674074830537147
0,A,0.05,1,16,-1.8390595857875005
0,A,0.05,1,17,-1.0022208859512827
0,A,0.05,1,18,-0.6880780780421122
0,A,0.05,1,19,-1.171619335627754
0,A,0.05,1,20,-0.5403289724238498
0,A,0.05,1,21,-0.5504337984224232
0,A,0.05,1,22,-0.42716012189365593
0,A,0.05,1,23,-1.3428316514268308
0,A,0.05,1,24,-1.041558316062342
0,A,0.05,1,25,0.03673449494977359
0,A,0.05,1,26,-1.0896641503091309
0,A,0.05,1,27,-0.8043169720536871
0,A,0.05,1,28,-0.7063274914837762
0,A,0.05,1,29,-1.2063038780560262
0,A,0.05,2,0,-0.021294904050672105
0,A,0.05,2,1,0.08431844860326018
0,A,0.05,2,2,0.05169596786595038
0,A,0.05,2,3,0.0507514984973835
0,A,0.05,2,4,0.08050487058769538
0,A,0.05,2,5,0.04236431554381241
0,A,0.05,2,6,-0.0431644151332543
0,A,0.05,2,7,0.06731649241925677
0,A,0.05,2,8,0.06134019572649239
0,A,0.05,2,9,0.028459565913938716
0,A,0.05,2,10,-0.019018329130769764
0,A,0.05,2,11,0.01818742677083777
0,A,0.05,2,12,-0.030449255568618865
0,A,0.05,2,13,0.045049618231845355
0,A,0.05,2,14,0.0168090777862829
0,A,0.05,2,15,0.05982496979020102
0,A,0.05,2,16,0.04493835520449358
0,A,0.05,2,17,0.5881893970273716
0,A,0.05,2,18,0.5716951987901625
0,A,0.05,2,19,0.5215762712071459
0,A,0.05,2,20,0.6450013667665317
0,A,0.05,2,21,0.7787850496414845
0,A,0.05,2,22,0.1276471120370121
0,A,0.05,2,23,0.5224744198464477
0,A,0.05,2,24,0.3029752201267237
0,A,0.05,2,25,0.8347525075745398
0,A,0.05,2,26,0.7302950026857814
0,A,0.05,2,27,0.45118528472476366
0,A,0.05,2,28,0.2233565934375046
0,A,0.05,2,29,0.6052022391257811
0,A,0.05,3,0,0.2672615278151278
0,A,0.05,3,1,-0.7037068019478558
0,A,0.05,3,2,0.7512239077577539
0,A,0.05,3,3,-0.15817197305735145
0,A,0.05,3,4,0.6285802328959541
0,A,0.05,3,5,-0.8706485954365069
0,A,0.05,3,6,0.5898964841695962
0,A,0.05,3,7,-0.09524402405401035
0,A,0.05,3,8,0.270752578326485
0,A,0.05,3,9,0.3876532889065137
0,A,0.05,3,10,-0.23245194950818687
0,A,0.05,3,11,-0.19231579278041322
0,A,0.05,3,12,-0.23174347593698708
0,A,0.05,3,13,-0.028727666857365382
0,A,0.05,3,14,1.0504288530186172
0,A,0.05,3,15,0.6017711019910363
0,A,0.05,3,16,1.4891090786601815
0,A,0.05,3,17,1.480584905207032
0,A,0.05,3,18,0.030775458316793795
0,A,0.05,3,19,1.6450435432838226
0,A,0.05,3,20,1.3533851339748568
0,A,0.05,3,21,2.049419465868635
0,A,0.05,3,22,2.004164085817126
0,A,0.05,3,23,1.5050867041382945
0,A,0.05,3,24,1.1417582437287388
0,A,0.05,3,25,2.1373615043127567
0,A,0.05,3,26,1.965684470827049
0,A,0.05,3,27,1.815240143689661
0,A,0.05,3,28,1.4016393366176816
0,A,0.05,3,29,1.2446037033538346
0,A,0.05,4,0,1.239296333571111
0,A,0.05,4,1,1.7154976318623547
0,A,0.05,4,2,1.8655661781936475
0,A,0.05,4,3,1.7986186761020209
0,A,0.05,4,4,1.412672532958671
0,A,0.05,4,5,1.78373652798424
0,A,0.05,4,6,1.6086576476256365
0,A,0.05,4,7,1.8256853775082542
0,A,0.05,4,8,1.6427035445324905
0,A,0.05,4,9,1.112447899764356
0,A,0.05,4,10,1.9606865879977489
0,A,0.05,4,11,2.1519682656797836
0,A,0.05,4,12,1.925052855936832
0,A,0.05,4,13,1.830608243996198
0,A,0.05,4,14,1.8382331566558687
0,A,0.05,4,15,1.6788304384100567
0,A,0.05,4,16,1.7776087040066468
0,A,0.05,4,17,1.9518518010502452
0,A,0.05,4,18,1.9237230785884005
0,A,0.05,4,19,1.8151301774941528
0,A,0.05,4,20,1.5514006835313896
0,A,0.05,4,21,1.4258392614256972
0,A,0.05,4,22,0.8670944125381362
0,A,0.05,4,23,1.749821748136912
0,A,0.05,4,24,1.5115968787102678
0,A,0.05,4,25,1.7949518654981125
0,A,0.05,4,26,1.8546410944836031
0,A,0.05,4,27,1.9961847878948338
0,A,0.05,4,28,1.1161796150874896
0,A,0.05,4,29,1.9466159409041008
0,A,0.05,5,0,0.6498788847247396
0,A,0.05,5,1,1.1326075870833243
0,A,0.05,5,2,1.4045864303957099
0,A,0.05,5,3,0.3555399768361733
0,A,0.05,5,4,0.7478322935918601
0,A,0.05,5,5,0.9717766312435835
0,A,0.05,5,6,0.9025801213378146
0,A,0.05,5,7,1.143903493100377
0,A,0.05,5,8,1.5572563444493108
0,A,0.05,5,9,0.9151375581443142
0,A,0.05,5,10,1.7266126229885657
0,A,0.05,5,11,1.7561656593300425
0,A,0.05,5,12,1.6823924084161848
0,A,0.05,5,13,1.590256836942407
0,A,0.05,5,14,1.0877919055440153
0,A,0.05,5,15,2.0965005546235753
0,A,0.05,5,16,0.862016723084537
0,A,0.05,5,17,1.508388765641306
0,A,0.05,5,18,1.3694019957511072
0,A,0.05,5,19,1.4717782445869774
0,A,0.05,5,20,1.4848583170468448
0,A,0.05,5,21,1.4158773832400928
0,A,0.05,5,22,1.5138667143608908
0,A,0.05,5,23,1.504634848958045
0,A,0.05,5,24,1.173997058056233
0,A,0.05,5,25,1.4866554013860123
0,A,0.05,5,26,1.4018715467122853
0,A,0.05,5,27,1.5890792903143154
0,A,0.05,5,28,1.4719043765467776
0,A,0.05,5,29,1.1119112119621022
0,A,0.05,6,0,-0.17025891813321586
